384_Plate,ORF,Gene,Description,1536_coord
1A1,YAL002W,VPS8,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,01_01_01
2A1,YEL017W,GTT3,Protein of unknown function may be involved in glutathione metabolism; function suggested by computational analysis of large-scale protein-protein interaction data; N- and C-terminal fusion proteins localize to the cell periphery,01_01_02
1A2,YBR160W,CDC28,"Cyclin-dependent kinase (CDK) catalytic subunit; master regulator of mitotic and meiotic cell cycles; alternately associates with G1, S, G2/M phase cyclins, which provide substrate specificity; regulates basal transcription, chromosome dynamics, growth, morphogenesis; transcript induction in osmostress involves antisense RNA; human homologs CDK1, CDK2, CDK3 can each complement yeast cdc28 thermosensitive mutants; human CDK1, CDK2 can each complement yeast cdc28 null mutant",01_01_03
2A2,YGL037C,PNC1,Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; lacks a peroxisomal targeting signal but is imported into peroxisomes via binding to Gpd1p; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress,01_01_04
1A3,YAL005C,SSA1,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",01_01_05
2A3,YEL020C,PXP1,Peroxisomal protein of unknown function; targeted to peroxisomes by Pex5p; contains low sequence identity with Pdc1p; mRNA identified as translated by ribosome profiling data,01_01_06
1A4,YBR161W,CSH1,"Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; forms a complex with regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Sur1p; CSH1 has a paralog, SUR1, that arose from the whole genome duplication",01_01_07
2A4,YGL038C,OCH1,Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins,01_01_08
1A5,YAL008W,FUN14,Mitochondrial protein of unknown function,01_01_09
2A5,YEL022W,GEA2,"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication",01_01_10
1A6,YBR162W-A,YSY6,Protein of unknown function; expression suppresses a secretory pathway mutation in E. coli; has similarity to the mammalian RAMP4 protein involved in secretion,01_01_11
2A6,YGL041C-B,YGL041C-B,Putative protein of unknown function; identified by fungal homology and RT-PCR; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum,01_01_12
1A7,YAL009W,SPO7,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",01_01_13
2A7,YEL025C,YEL025C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,01_01_14
1A8,YBR164C,ARL1,"Soluble GTPase with a role in regulation of membrane traffic; regulates potassium influx; role in membrane organization at trans-Golgi network; G protein of the Ras superfamily, similar to ADP-ribosylation factor",01_01_15
2A8,YGL045W,RIM8,Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family,01_01_16
1A9,YAL014C,SYN8,Endosomal SNARE related to mammalian syntaxin 8,01_01_17
2A9,YEL027W,VMA3,Proteolipid subunit c of the V0 domain of vacuolar H(+)-ATPase; dicyclohexylcarbodiimide binding subunit; required for vacuolar acidification and important for copper and iron metal ion homeostasis,01_01_18
1A10,YBR168W,PEX32,Peroxisomal integral membrane protein; involved in negative regulation of peroxisome size; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p,01_01_19
2A10,YGL047W,ALG13,Catalytic component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases; protein abundance increases in response to DNA replication stress; both human homologs ALG13 and ALG14 are required to complement yeast alg13 mutant,01_01_20
1A11,YAL018C,LDS1,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",01_01_21
2A11,YEL031W,SPF1,"P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1",01_01_22
1A12,YBR170C,NPL4,"Substrate-recruiting cofactor of the Cdc48p-Npl4p-Ufd1p segregase; assists Cdc48p in the dislocation of misfolded, polyubiquitinated ERAD substrates that are subsequently delivered to the proteasome for degradation; also involved in the regulated destruction of resident ER membrane proteins, such as HMG-CoA reductase (Hmg1/2p) and cytoplasmic proteins (Fbp1p); role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing (RUP)",01_01_23
2A12,YGL051W,MST27,"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst28p; member of DUP240 gene family; binds COPI and COPII vesicles; MST27 has a paralog, MST28, that arose from a segmental duplication",01_01_24
1A13,YAL022C,FUN26,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",01_01_25
